Adams,Brain,1960,11,5,10000,1003000.5,1,0
DrinkingWater,John,1951,11,30,10001,4000.3,0,0
Key,John,1961,8,8,10002,56666600.0,2,0
Roberts,Julia,1967,10,28,10003,454545.0,1,0
Cruise,Tom,1962,7,3,10004,340000000.0,1,0
Tom,Johnny,1954,9,25,10005,230.0,0,0
Haldeman,Joe,1916,6,9,10006,23055.5,0,0
King,Charles,1955,11,19,10007,2400.5,0,0
Thomson,James,1980,4,4,10008,330.5,0,0
Diaz,Cameron,1972,8,30,10009,23000000.6,1,0
Obama,Barak,1961,8,4,10010,2000000.4,2,0
Hoffman,Dustin,1937,8,8,10011,23000000.0,1,0
Williams,Robin,1951,7,21,10012,22000000.5,1,0
Crowe,Russell,1964,4,7,10013,44000000.3,1,0
Minogue,Kylie,1968,5,28,10014,10000000.3,1,0
Keating,Paul,1944,1,18,10015,4000000.8,2,0
Gaga,Lady,1986,3,28,10016,50000000.0,1,0
Clark,Helen,1950,2,26,10017,400000.0,2,0
Suzenski,Mikhail,1951,3,2,10018,0.0,0,0
Yeltsin,Boris,1931,2,1,10019,10000000.5,2,0
